dataset_id,column_name,role
Mazor_2021_Expt4,Confidence,confidence
Mazor_2021_Expt4,RT_dec,rt_decision
Mazor_2021_Expt4,RT_conf,rt_confidence
Mazor_2021_Expt4,Trial,trial_info
Mazor_2021_Expt4,SOA,other
Mazor_2021_Expt5,Subj_idx,subj_idx
Mazor_2021_Expt5,Stimulus,stimulus
Mazor_2021_Expt5,Response,response
Mazor_2021_Expt5,Accuracy,accuracy
Mazor_2021_Expt5,Confidence,confidence
Mazor_2021_Expt5,RT_dec,rt_decision
Mazor_2021_Expt5,RT_conf,rt_confidence
Mazor_2021_Expt5,Trial,trial_info
Mazor_2021_Expt5,SOA,other
Mazor_2021_Expt6,Subj_idx,subj_idx
Mazor_2021_Expt6,Stimulus,stimulus
Mazor_2021_Expt6,Response,response
Mazor_2021_Expt6,Accuracy,accuracy
Mazor_2021_Expt6,Confidence,confidence
Mazor_2021_Expt6,RT_dec,rt_decision
Mazor_2021_Expt6,RT_conf,rt_confidence
Mazor_2021_Expt6,Trial,trial_info
Mazor_2021_Expt6,SOA,other
Mazor_2021_Expt7,Subj_idx,subj_idx
Mazor_2021_Expt7,Stimulus,stimulus
Mazor_2021_Expt7,Response,response
Mazor_2021_Expt7,Accuracy,accuracy
Mazor_2021_Expt7,Confidence,confidence
Mazor_2021_Expt7,RT_dec,rt_decision
Mazor_2021_Expt7,RT_conf,rt_confidence
Mazor_2021_Expt7,Trial,trial_info
Mazor_2021_Expt7,SOA,other
Mei_2019_Exp1,Subj_idx,subj_idx
Mei_2019_Exp1,Stimulus,stimulus
Mei_2019_Exp1,Response,response
Mei_2019_Exp1,Accuracy,accuracy
Mei_2019_Exp1,Confidence,confidence
Mei_2019_Exp1,RT_dec,rt_decision
Mei_2019_Exp1,RT_conf,rt_confidence
Mei_2019_Exp1,RT_aware,rt_other
Mei_2019_Exp1,Trial_count,trial_info
Mei_2019_Exp1,Block_count,trial_info
Mei_2019_Exp1,Awareness,other
Mei_2019_Exp1,Prediction_Success,other
Mei_2019_Exp2,Subj_idx,subj_idx
Mei_2019_Exp2,Stimulus,stimulus
Mei_2019_Exp2,Response,response
Mei_2019_Exp2,Accuracy,accuracy
Mei_2019_Exp2,Confidence,confidence
Mei_2019_Exp2,RT_dec,rt_decision
Mei_2019_Exp2,RT_conf,rt_confidence
Mei_2019_Exp2,RT_aware,rt_other
Mei_2019_Exp2,Trial_count,trial_info
Mei_2019_Exp2,Block_count,trial_info
Mei_2019_Exp2,Awareness,other
Mei_2019_Exp2,Attention_Decision,other
OHora_2017,Subj_idx,subj_idx
OHora_2017,Stimulus,stimulus
OHora_2017,Response,response
OHora_2017,Accuracy,accuracy
OHora_2017,Confidence,confidence
OHora_2017,RT_dec,rt_decision
OHora_2017,RT_conf,rt_confidence
OHora_2017,Coherence,difficulty
OHora_2017,Training,other
OHora_unpub_1,Subj_idx,subj_idx
OHora_unpub_1,Stimulus,stimulus
OHora_unpub_1,Response,response
OHora_unpub_1,Accuracy,accuracy
OHora_unpub_1,Confidence,confidence
OHora_unpub_1,RT_dec,rt_decision
OHora_unpub_1,RT_conf,rt_confidence
OHora_unpub_1,Coherence,difficulty
OHora_unpub_1,Training,other
OHora_unpub_1,cond,other
OHora_unpub_1,Int.Block,other
OHora_unpub_1,five_s_to,other
OHora_unpub_1,exclude_subj,other
OHora_unpub_2,Subj_idx,subj_idx
OHora_unpub_2,Stimulus,stimulus
OHora_unpub_2,Response,response
OHora_unpub_2,Accuracy,accuracy
OHora_unpub_2,Confidence,confidence
OHora_unpub_2,RT_dec,rt_decision
OHora_unpub_2,RT_conf,rt_confidence
OHora_unpub_2,Coherence,difficulty
OHora_unpub_2,Training,other
OHora_unpub_2,exclude_subj,other
Palser_2018,Subj_idx,subj_idx
Palser_2018,Stimulus,stimulus
Palser_2018,Response,response
Palser_2018,Confidence,confidence
Palser_2018,RT_dec,rt_decision
Palser_2018,RT_conf,rt_confidence
Palser_2018,Condition,condition
Palser_2018,Contrast,difficulty
Paulewicz_unpub1,Subj_idx,subj_idx
Paulewicz_unpub1,Stimulus,stimulus
Paulewicz_unpub1,Response,response
Paulewicz_unpub1,Confidence,confidence
Paulewicz_unpub1,Difficulty,difficulty
Paulewicz_unpub1,Item,other
Paulewicz_unpub2,Subj_idx,subj_idx
Paulewicz_unpub2,Stimulus,stimulus
Paulewicz_unpub2,Response,response
Paulewicz_unpub2,Accuracy,accuracy
Paulewicz_unpub2,Confidence,confidence
Paulewicz_unpub2,RT_dec,rt_decision
Paulewicz_unpub2,Difficulty,difficulty
Paulewicz_unpub2,Order,other
Paulewicz_unpub3,Subj_idx,subj_idx
Paulewicz_unpub3,Stimulus,stimulus
Paulewicz_unpub3,Response,response
Paulewicz_unpub3,Accuracy,accuracy
Paulewicz_unpub3,Confidence,confidence
Paulewicz_unpub3,RT_dec,rt_decision
Paulewicz_unpub3,Difficulty,difficulty
Paulewicz_unpub3,Order,other
Paulewicz_unpub4,Subj_idx,subj_idx
Paulewicz_unpub4,Stimulus,stimulus
Paulewicz_unpub4,Response,response
Paulewicz_unpub4,Accuracy,accuracy
Paulewicz_unpub4,Confidence,confidence
Paulewicz_unpub4,RT_dec,rt_decision
Paulewicz_unpub4,Condition,condition
Paulewicz_unpub4,Difficulty,difficulty
Pereira_2018,Subj_idx,subj_idx
Pereira_2018,Stimulus,stimulus
Pereira_2018,Response,response
Pereira_2018,Confidence,confidence
Pereira_2018,RT_dec,rt_decision
Pereira_2018,RT_conf,rt_confidence
Pereira_2018,Ease,other
Peters_unpub,Subj_idx,subj_idx
Peters_unpub,Stimulus,stimulus
Peters_unpub,Response,response
Peters_unpub,Confidence,confidence
Peters_unpub,RT_dec,rt_decision
Peters_unpub,RT_conf,rt_confidence
Peters_unpub,Condition,condition
Peters_unpub,Difference,other
Prieto_unpub,Subj_idx,subj_idx
Prieto_unpub,Stimulus,stimulus
Prieto_unpub,Response,response
Prieto_unpub,Accuracy,accuracy
Prieto_unpub,Confidence,confidence
Prieto_unpub,RT_dec,rt_decision
Prieto_unpub,RT_conf,rt_confidence
Prieto_unpub,Contrast,difficulty
Rahnev_2013,Subj_idx,subj_idx
Rahnev_2013,Stimulus,stimulus
Rahnev_2013,Response,response
Rahnev_2013,Confidence,confidence
Rahnev_2013,RT_decConf,rt_combined
Rahnev_2013,Condition,condition
Rahnev_2013,Contrast,difficulty
data_Rahnev_2021,Stimulus,stimulus
data_Rahnev_2021,Response,response
data_Rahnev_2021,Accuracy,accuracy
data_Rahnev_2021,Confidence,confidence
data_Rahnev_2021,RT_dec,rt_decision
data_Rahnev_2021,RT_conf,rt_confidence
data_Rahnev_2021,Condition,condition
data_Rahnev_2021,subject_id,other
data_Rahnev_2021,stimAngle,other
Rausch_2014,Subj_idx,subj_idx
Rausch_2014,Stimulus,stimulus
Rausch_2014,Response,response
Rausch_2014,Accuracy,accuracy
Rausch_2014,Confidence,confidence
Rausch_2014,RT_dec,rt_decision
Rausch_2014,RT_conf,rt_confidence
Rausch_2014,coherence,difficulty
Rausch_2014,Training,other
Rausch_2014,Scale,other
Rausch_2016,Subj_idx,subj_idx
Rausch_2016,Stimulus,stimulus
Rausch_2016,Response,response
Rausch_2016,Accuracy,accuracy
Rausch_2016,Confidence,confidence
Rausch_2016,RT_dec,rt_decision
Rausch_2016,contrast,difficulty
Rausch_2016,Visibility,other
Rausch_2016,Training,other
Rausch_2016,ScaleOrder,other
Rausch_2018_Expt1,Subj_idx,subj_idx
Rausch_2018_Expt1,Stimulus,stimulus
Rausch_2018_Expt1,Response,response
Rausch_2018_Expt1,Accuracy,accuracy
Rausch_2018_Expt1,Confidence,confidence
Rausch_2018_Expt1,RT_decConf,rt_combined
Rausch_2018_Expt1,difficulty,difficulty
Rausch_2018_Expt1,Training,other
Rausch_2018_Expt2,Subj_idx,subj_idx
Rausch_2018_Expt2,Stimulus,stimulus
Rausch_2018_Expt2,Response,response
Rausch_2018_Expt2,Accuracy,accuracy
Rausch_2018_Expt2,Confidence,confidence
Rausch_2018_Expt2,RT_dec,rt_decision
Rausch_2018_Expt2,RT_conf,rt_confidence
Rausch_2018_Expt2,difficulty,difficulty
Rausch_2018_Expt2,Training,other
Rausch_2020,Subj_idx,subj_idx
Rausch_2020,Stimulus,stimulus
Rausch_2020,Response,response
Rausch_2020,Accuracy,accuracy
Rausch_2020,Confidence,confidence
Rausch_2020,RT_dec,rt_decision
Rausch_2020,RT_conf,rt_confidence
Rausch_2020,SOA,other
Rausch_2020,Training,other
Recht_unpub,Subj_idx,subj_idx
Recht_unpub,Stimulus,stimulus
Recht_unpub,Response,response
Recht_unpub,Confidence,confidence
Recht_unpub,RT_dec,rt_decision
Recht_unpub,Validity,other
Recht_unpub,CTOA,other
Recht_unpub,Cue_position,other
Reyes_2015,Subj_idx,subj_idx
Reyes_2015,Stimulus,stimulus
Reyes_2015,Response,response
Reyes_2015,Accuracy,accuracy
Reyes_2015,Confidence,confidence
Reyes_2015,RT_dec,rt_decision
Reyes_2015,RT_conf,rt_confidence
Reyes_2015,Contrast,difficulty
Reyes_2015,Training,other
Reyes_unpub,Subj_idx,subj_idx
Reyes_unpub,Stimulus,stimulus
Reyes_unpub,Response,response
